external_author_id,author,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,account_type,retweet,account_category,new_june_2018,alt_external_id,tweet_id,article_url,tco1_step1,tco2_step1,tco3_step1
9.06E+17,10_GOP,'@realDonaldTrump Thank you for being the @POTUS we elected!',Unknown,English,10/12/2017 20:21,10/12/2017 20:21,1070,10400,322,,Right,0,RightTroll,0,9.05875E+17,9.18572E+17,http://twitter.com/905874659358453760/statuses/918572269680713729,,,
9.06E+17,10_GOP,"So wait, did the Russians also purchase Hillary Clinton? ""Pokemon Go to the polls""! https://t.co/2I1ayPLMBu",Unknown,English,10/12/2017 20:31,10/12/2017 20:32,1070,10399,323,RETWEET,Right,1,RightTroll,0,9.05875E+17,9.18575E+17,http://twitter.com/905874659358453760/statuses/918574971395477504,https://twitter.com/PoliticalShort/status/918571092972851200/video/1,,
9.06E+17,10_GOP,Students describe what it’s like being a conservative on a college campus. The described behavior is inexplicable and inexcusable. https://t.co/OBEZKBTamL,Unknown,English,10/12/2017 20:54,10/12/2017 20:55,1070,10401,324,RETWEET,Right,1,RightTroll,0,9.05875E+17,9.18581E+17,http://twitter.com/905874659358453760/statuses/918580728916529153,https://twitter.com/RealKyleMorris/status/918540064141037568/video/1,,
9.06E+17,10_GOP,Eminem is a Trump supporter?!  😮 https://t.co/JnCUJ7sqnU,Unknown,English,10/12/2017 21:38,10/12/2017 21:38,1070,10401,325,RETWEET,Right,1,RightTroll,0,9.05875E+17,9.18592E+17,http://twitter.com/905874659358453760/statuses/918591624711692288,https://twitter.com/placeboing/status/918590592665505793/video/1,,
9.06E+17,10_GOP,BOOM! Judge Napolitano calls out Hillary for bogus claim she can’t return Weinstein donation. https://t.co/bd8nrMxVWw,Unknown,English,10/12/2017 22:26,10/12/2017 22:26,1070,10403,326,,Right,0,RightTroll,0,9.05875E+17,9.18604E+17,http://twitter.com/905874659358453760/statuses/918603834561368064,https://twitter.com/10_gop/status/918603834561368064/video/1,,
9.06E+17,10_GOP,"Burgess Owens on the NFL protest: ""One thing about leftists, they are all about principle until the dollars start leaving their pocketbooks"" https://t.co/lZXtXdfoVW",Unknown,English,10/12/2017 22:37,10/12/2017 22:37,1070,10405,327,,Right,0,RightTroll,0,9.05875E+17,9.18607E+17,http://twitter.com/905874659358453760/statuses/918606626952708096,https://twitter.com/10_gop/status/918606626952708096/video/1,,
9.06E+17,10_GOP,Let's show Sean Hannity some love! Take a minute to call his hotline (877) 225-8587. Let him know how much we support him! https://t.co/QMi3iTWaDX,Unknown,English,10/12/2017 2:16,10/12/2017 2:16,1071,10363,316,,Right,0,RightTroll,0,9.05875E+17,9.18299E+17,http://twitter.com/905874659358453760/statuses/918299184016609281,https://twitter.com/10_gop/status/918299184016609281/photo/1,,
9.06E+17,10_GOP,A cute 10 yo girl had a Trump dress on. Hannity asked her why she liked him. She said because he's doing great things for the country! ❤️❤️ https://t.co/QzXbuPgH2B,Unknown,English,10/12/2017 3:02,10/12/2017 3:03,1072,10366,317,,Right,0,RightTroll,0,9.05875E+17,9.18311E+17,http://twitter.com/905874659358453760/statuses/918310998913798144,https://twitter.com/10_gop/status/918310998913798144/video/1,,
9.06E+17,10_GOP,Is this real? https://t.co/QUTSZc3quW,Unknown,English,10/13/2017 0:39,10/13/2017 0:40,1071,10414,328,RETWEET,Right,1,RightTroll,0,9.05875E+17,9.18637E+17,http://twitter.com/905874659358453760/statuses/918637394051715072,https://twitter.com/JackPosobiec/status/918637032209043456/photo/1,,
9.06E+17,10_GOP,Happy Birthday to the U.S. Navy and thank you to all the brave women and men who protect and serve! https://t.co/MwnTEOE59J,Unknown,English,10/13/2017 20:15,10/13/2017 20:15,1070,10441,332,,Right,0,RightTroll,0,9.05875E+17,9.18933E+17,http://twitter.com/905874659358453760/statuses/918933126650449921,https://twitter.com/10_gop/status/918933126650449921/photo/1,,
9.06E+17,10_GOP,oh https://t.co/XU3MBQ5f2K,Unknown,English,10/13/2017 20:23,10/13/2017 20:23,1070,10441,333,RETWEET,Right,1,RightTroll,0,9.05875E+17,9.18935E+17,http://twitter.com/905874659358453760/statuses/918935152222498816,https://twitter.com/neontaster/status/918889742720258048/photo/1,,
9.06E+17,10_GOP,President Trump: #Iran was Economically BANKRUPT until Obama gifted them 1.7 BILLION in CASH &amp; infused 150 BILLION into their economy ...... https://t.co/GocTNG4KyL,Unknown,English,10/13/2017 20:38,10/13/2017 20:38,1070,10441,334,RETWEET,Right,1,RightTroll,0,9.05875E+17,9.18939E+17,http://twitter.com/905874659358453760/statuses/918939099972669441,https://twitter.com/StockMonsterUSA/status/918933849664495616/video/1,,
9.06E+17,10_GOP,“It was straight up prostitution and that’s the way Hollywood is run these days” ~ @Joy_Villa https://t.co/5peu8ZFbeA,Unknown,English,10/13/2017 22:00,10/13/2017 22:01,1071,10442,335,,Right,0,RightTroll,0,9.05875E+17,9.1896E+17,http://twitter.com/905874659358453760/statuses/918959753790984193,https://twitter.com/10_gop/status/918959753790984193/video/1,,
9.06E+17,10_GOP,All of the good guys I know wanted us out of Iran deal and all of the globalists wanted us in it. Look at whose mad today - deep state.,Unknown,English,10/13/2017 22:01,10/13/2017 22:01,1071,10442,336,RETWEET,Right,1,RightTroll,0,9.05875E+17,9.1896E+17,http://twitter.com/905874659358453760/statuses/918959976860790784,,,
9.06E+17,10_GOP,NFL having to write out how players conduct themselves during the anthem is HILARIOUS. I learned how to honor the flag in GRADE SCHOOL #MAGA https://t.co/pe7ijVpslF,Unknown,English,10/13/2017 22:31,10/13/2017 22:31,1071,10443,337,RETWEET,Right,1,RightTroll,0,9.05875E+17,9.18967E+17,http://twitter.com/905874659358453760/statuses/918967415534489600,https://twitter.com/SheriffClarke/status/918092028373807105/photo/1,,
9.06E+17,10_GOP,Dear CNN: When will you be interviewing one of the mayors in Puerto Rico's other 77 municipios? https://t.co/MKNFP3IHZe,Unknown,English,10/13/2017 23:07,10/13/2017 23:07,1071,10445,338,RETWEET,Right,1,RightTroll,0,9.05875E+17,9.18976E+17,http://twitter.com/905874659358453760/statuses/918976499360903168,https://twitter.com/CNN/status/918687100639232002,,
9.06E+17,10_GOP,"Liberals would rather side with Iran, North Korea, and Cuba then our President, our country, and our allies Israel, Japan, S. Korea. Sad!",Unknown,English,10/13/2017 23:26,10/13/2017 23:26,1071,10445,339,,Right,0,RightTroll,0,9.05875E+17,9.18981E+17,http://twitter.com/905874659358453760/statuses/918981366607499264,,,
9.06E+17,10_GOP,".@Joy_Villa: The Hollywood swamp is starting to crumble. If Weinstein is getting pulled to the surface, all these other smaller players will https://t.co/9j2wgxnMwH",Unknown,English,10/13/2017 2:26,10/13/2017 2:26,1071,10417,329,RETWEET,Right,1,RightTroll,0,9.05875E+17,9.18664E+17,http://twitter.com/905874659358453760/statuses/918664262243049472,https://twitter.com/FoxNews/status/918637322794602497/video/1,,
